index,capital city,temperature [°C],pressure [hPa],humidity [%],visibility,wind speed [m/s],clouds [%],rain in last hour [mm],snow in last hour [mm]
43,Bangui,27,1011,69,10000,2.98,99,0.24,0
44,N'Djamena,41,1006,6,10000,3.31,74,0,0
45,Santiago,16,981,57,10000,1.03,0,0,0
46,Beijing,23,1012,14,10000,1.78,1,0,0
47,Flying Fish Cove,26,1010,89,10000,3.09,75,0,0
48,West Island,27,1008,83,10000,4.63,93,0,0
49,Bogotá,13,1029,82,10000,1.54,75,0,0
50,Moroni,29,1010,78,10000,2.17,89,0.21,0
51,Avarua,25,1010,100,10000,1.03,75,0,0
52,San José,4,1024,84,10000,2.57,0,0,0
53,Zagreb,22,1020,46,10000,1.54,0,0,0
54,Havana,15,1018,94,9000,1.54,0,0,0
55,Willemstad,28,1014,79,10000,5.14,20,0,0
56,Nicosia,22,1011,49,10000,5.66,40,0,0
57,Prague,24,1014,39,10000,5.14,0,0,0
58,Yamoussoukro,34,1011,46,10000,2.2,86,0,0
59,Kinshasa,32,1010,53,10000,1.19,100,0.37,0
60,Copenhagen,16,1014,71,10000,3.6,87,0,0
61,Djibouti,30,1008,45,10000,6.42,82,0,0
62,Roseau,26,1017,80,10000,3.8,20,0,0
63,Santo Domingo,26,1016,87,10000,2.06,75,0,0
64,Dili,28,1011,82,10000,1.28,86,0,0
65,Hanga Roa,23,1018,83,10000,3.09,20,0,0
66,Quito,10,1019,87,10000,1.62,97,0,0
67,Cairo,25,1014,41,10000,4.63,40,0,0
68,San Salvador,21,1014,85,10000,1.49,37,0,0
69,Malabo,32,1011,75,10000,1.54,20,0.33,0
70,Asmara,21,1010,49,10000,2.1,93,0.53,0
71,Tallinn,2,1009,75,10000,3.09,100,0,0
72,Addis Ababa,21,1011,49,10000,3.82,100,0,0
73,Stanley,15,990,73,10000,4.63,20,0,0
74,Tórshavn,3,991,98,90,19.69,100,1.57,0
75,Palikir,27,1011,83,10000,5.14,40,0.24,0
76,Suva,24,1012,88,10000,0,40,0,0
77,Helsinki,1,1009,83,10000,4.12,75,0.51,0
78,Paris,23,1009,40,10000,5.14,0,0,0
79,Cayenne,29,1014,79,10000,5.14,75,0,0
80,Papeete,26,1009,83,10000,7.6,75,0.27,0
81,Libreville,31,1010,64,10000,1.07,81,0,0
82,Banjul,26,1013,65,10000,2.06,0,0,0
83,Tbilisi,13,1020,58,10000,4.63,75,0,0
84,Berlin,22,1003,55,10000,4.47,20,0,0
85,Accra,30,1011,67,10000,5.32,68,0,0
86,Gibraltar,19,1013,68,10000,4.63,0,0,0
87,Athens,25,1018,32,10000,4.12,20,0,0
88,Nuuk,-1,1012,51,10000,10.29,75,0,0
89,St. George's,28,1016,69,10000,6.67,93,0,0
90,Hagåtña,27,1012,81,10000,5.14,0,0,0
91,Guatemala City,16,1022,91,4000,4.12,20,0,0
92,Conakry,31,1013,62,10000,4.12,20,0,0
93,Bissau,28,1013,52,10000,3.25,9,0,0
94,Georgetown,31,1005,66,10000,1.54,20,0,0
95,Port-au-Prince,27,1017,70,10000,1.94,2,0,0
96,Tegucigalpa,21,1020,83,8000,2.06,75,0,0
97,Budapest,24,1018,42,10000,2.06,0,0,0
98,Reykjavík,-1,1004,37,10000,3.09,0,0,0
99,New Delhi,33,1007,17,5000,3.09,3,0,0
100,Jakarta,28,1007,85,3000,1.54,75,0.38,0
101,Tehran,25,1014,9,10000,3.09,20,0,0
102,Baghdad,34,1008,14,10000,3.09,0,0,0
103,Dublin,3,1023,89,10000,4.12,0,0,0
104,Douglas,4,1013,75,10000,7.2,0,0,0
105,Jerusalem,19,1010,54,10000,3.58,0,0,0
106,Rome,2,1021,86,10000,1.79,0,0,0
107,Kingston,26,1016,78,10000,1.14,10,0,0
108,Tokyo,13,1018,86,10000,2.57,75,0,0
109,St. Helier,15,1021,96,10000,1.56,100,0.39,0
110,Amman,20,1014,40,5000,5.14,20,0,0
111,Astana,12,1016,44,10000,5,0,0,0
112,Nairobi,21,1011,72,10000,3.61,97,0.55,0
113,Tarawa,28,1008,89,10000,4.63,40,0.65,0
114,Pristina,23,1023,34,10000,3.09,0,0,0
115,Kuwait City,30,1012,40,10000,1.34,0,0,0
116,Bishkek,14,1019,80,10000,9.14,100,0,0
117,Vientiane,35,1004,46,6000,0,20,0,0
118,Riga,12,1007,82,10000,3.09,100,0,0
119,Beirut,20,1014,60,8000,4.63,40,0,0
120,Maseru,25,1012,25,10000,6.63,18,0,0
121,Monrovia,29,1012,71,10000,3.03,99,0,0
122,Tripoli,24,1022,37,10000,6.49,54,0,0
123,Vaduz,26,1019,32,10000,1.59,63,0,0
124,Vilnius,10,1010,93,3300,4.12,75,0,0
125,Luxembourg,20,1012,61,10000,7.97,65,0,0
126,Skopje,25,1020,36,10000,1.03,0,0,0
127,Antananarivo,29,1017,37,10000,2.06,40,0,0
128,Lilongwe,25,1011,75,8912,2.17,58,1.05,0
129,Kuala Lumpur,29,1008,86,10000,1.5,51,0,0
130,Malé,30,1007,79,10000,3.09,75,0,0
131,Bamako,37,1012,36,10000,4.12,0,0,0
132,Valletta,22,1025,43,10000,4.12,0,0,0
133,Majuro,28,1009,79,10000,3.09,75,0,0
134,Nouakchott,22,1012,62,7502,6.79,15,0,0
135,Port Louis,30,1013,78,10000,2.09,31,0,0
136,Mexico City,15,1020,42,10000,1.34,0,0,0
137,Chisinau,20,1016,42,10000,4.12,0,0,0
138,Monaco,18,1025,77,10000,5.14,40,0,0
139,Ulaanbaatar,9,1017,40,10000,3,0,0,0
140,Podgorica,21,1021,53,10000,3.09,0,0,0
141,Plymouth,2,1004,90,10000,3.6,100,0,0
142,Rabat,24,1009,57,6000,3.09,100,0,0
143,Maputo,22,1017,94,5000,7.2,100,0.54,0
144,Naypyidaw,37,1002,21,10000,2.06,1,0,0
145,Stepanakert,10,1019,79,10000,2.44,100,0,0
146,Windhoek,28,1009,33,10000,1.79,16,0,0
147,Yaren,27,1009,82,10000,6.37,91,0.33,0
148,Kathmandu,25,1013,25,6000,3.6,75,0,0
149,Amsterdam,22,1004,53,10000,9.77,0,0,0
150,Nouméa,26,1016,99,10000,5.22,97,0,0
151,Wellington,10,1028,78,10000,1.03,100,0,0
152,Managua,24,1012,94,10000,0,20,0,0
153,Niamey,40,1008,21,10000,4.27,47,0,0
154,Abuja,35,1010,36,10000,2.02,97,0,0
155,Alofi,25,1011,94,10000,1.54,95,1.09,0
156,Kingston,26,1016,78,10000,1.14,10,0,0
157,Pyongyang,12,1017,36,10000,1.96,24,0,0
158,Nicosia,22,1011,49,10000,5.66,40,0,0
159,Belfast,13,980,74,8000,18.01,75,0,0
160,Saipan,27,1013,81,10000,9.19,12,0,0
161,Oslo,4,1011,87,10000,1.54,100,0,0
162,Muscat,31,1009,38,10000,2.56,0,0,0
163,Islamabad,29,1008,25,10000,5.61,5,0,0
164,Jerusalem,19,1010,54,10000,3.58,0,0,0
165,Panama City,26,1005,84,9000,2.06,40,0,0
166,Port Moresby,25,1010,89,10000,1.76,100,0,0
167,Asunción,28,1013,78,10000,2.57,0,0,0
168,Lima,21,985,87,5000,2.57,100,0,0
169,Manila,29,1012,71,10000,0.45,38,0,0
170,Adamstown,21,1016,69,10000,2.05,96,0,0
171,Warsaw,18,1014,56,10000,7.72,40,0,0
172,Lisbon,17,1012,80,10000,3.6,20,0.24,0
173,San Juan,22,1011,55,10000,0.5,0,0,0
174,Doha,32,1010,24,10000,5.14,0,0,0
175,Taipei,21,1012,88,10000,4.12,75,0.5,0
176,Brazzaville,32,1010,50,10000,1.3,100,0.23,0
177,Bucharest,23,1013,41,10000,4.12,0,0,0
178,Moscow,6,1017,83,10000,3.5,100,0,0
179,Kigali,19,1020,83,10000,3.6,75,0.6,0
180,Gustavia,28,1022,78,10000,2.68,7,0,0
181,Jamestown,2,1016,99,10000,5.14,100,0,0
182,Basseterre,28,1017,81,10000,3.6,20,0,0
183,Castries,28,1017,79,10000,4.92,62,0,0
184,Marigot,29,1018,80,10000,4.12,20,0,0
185,St. Pierre,21,1006,55,10000,9.76,71,0,0
186,Kingstown,27,1016,69,10000,6.27,51,0,0
187,Apia,28,1009,74,10000,3.14,99,0.21,0
188,San Marino,18,1023,64,10000,3.09,0,0,0
189,Riyadh,33,1010,19,10000,4.93,33,0,0
190,Edinburgh,15,985,64,10000,14.4,20,0,0
191,Dakar,25,1014,87,10000,4.66,62,0,0
192,Belgrade,23,1020,38,10000,4.12,0,0,0
193,Victoria,24,1013,90,10000,5.36,39,0,0
194,Freetown,27,1013,76,10000,3.06,100,0,0
195,Singapore,30,1007,71,10000,5.14,75,0,0
196,Philipsburg,29,1018,80,10000,4.12,20,0,0
197,Bratislava,23,1018,46,10000,2.06,0,0,0
198,Ljubljana,22,1011,51,10000,1.54,0,0,0
199,Honiara,25,1010,96,4198,1.85,100,3.07,0
200,Mogadishu,30,1008,66,10000,6.28,40,0,0
201,Hargeisa,30,1009,31,10000,2.96,99,0,0
202,Pretoria,26,1014,64,10000,1.94,35,0,0
203,Grytviken,1,1007,67,10000,2.63,4,0,0
204,Seoul,12,1019,26,10000,1.55,36,0,0
205,Tskhinvali,10,1019,60,10000,2.15,89,0,0
206,Juba,31,1008,46,10000,2.51,100,0,0
207,Madrid,21,1004,41,10000,3.09,0,0,0
208,Sri Jayawardenapura Kotte,29,1007,74,10000,3.74,78,0,0
209,Khartoum,39,1005,8,10000,5.45,54,0,0
210,Paramaribo,29,1014,70,10000,2.57,20,0,0
211,Mbabane,16,1019,82,10000,1.46,99,0,0
212,Stockholm,2,1010,93,10000,2.06,75,0,0
213,Bern,21,1020,38,10000,1.79,0,0,0
214,Damascus,23,1009,19,10000,3.63,0,0,0
215,São Tomé,29,1011,74,10000,2.28,100,0,0
216,Dushanbe,17,1017,42,10000,8,75,0,0
217,Dodoma,23,1010,79,6521,3.25,100,1.37,0
218,Bangkok,33,1006,57,10000,5.29,25,0,0
219,Lomé,32,1011,62,10000,5.23,99,0,0
220,Tiraspol,21,1017,31,10000,3.88,77,0,0
221,Port of Spain,28,1016,69,10000,3.71,100,0,0
222,Edinburgh of the Seven Seas,19,1022,92,10000,11.92,99,0,0
223,Tunis,28,1022,17,10000,5.7,0,0,0
224,Ankara,15,1015,26,10000,2.24,91,0,0
225,Ashgabat,24,1016,22,10000,4.82,25,0,0
226,Cockburn Town,25,1016,77,10000,1.91,0,0,0
227,Funafuti,27,1009,89,10000,1.03,20,0,0
228,Kampala,21,1010,79,10000,2.05,96,0.77,0
229,Kyiv,18,1013,67,10000,5.7,95,0.13,0
230,Abu Dhabi,30,1010,26,10000,4.63,0,0,0
231,London,18,1000,64,10000,6.17,100,0,0
232,"Washington, D.C.",2,1014,77,10000,2.13,58,0,0
233,Charlotte Amalie,27,1017,78,10000,3.43,3,0,0
234,Montevideo,18,1020,72,10000,5.66,0,0,0
235,Tashkent,12,1019,71,10000,5.14,75,0,0
236,Port Vila,25,1013,73,10000,6.55,87,0,0
237,Vatican City,22,1025,46,10000,2.68,0,0,0
238,Caracas,24,1016,66,10000,3.09,40,0,0
239,Hanoi,27,1007,85,10000,4.49,96,0,0
240,Cardiff,14,997,73,10000,6.69,100,0,0
241,Mata-Utu,28,1009,75,10000,3.76,100,0.29,0
242,El Aaiún,25,1012,48,10000,5.7,92,0,0
243,Sanaá,23,1012,38,10000,5.4,62,0,0
244,Lusaka,27,1010,51,10000,3.09,69,0,0
245,Harare,26,1012,43,10000,1.55,72,0,0
